앱 확장 소재,앱 확장 소재 유형,캠페인,광고그룹,일,전환,통화 코드,비용,노출수,클릭수,Revenue,유형,사이즈,투입일,시기,USP,Concept,언어,파일명,소재명,링크,hooking_strategy,audio_elements_bgm,audio_elements_sfx_emphasized,audio_elements_narration,audio_elements_cv,text_analysis_extracted_copy,text_analysis_core_usp,title_specific_system,title_specific_mechanic,title_specific_faction_race,title_specific_identified_character,title_specific_theme,title_specific_special_note,gameplay,visual_technique,environment,emotion,character_object,art_style,marketer_insight
Add a Spark to Your Day,광고 제목,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,6,KRW,59598,695,48,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepp Heroes,광고 제목,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,5,KRW,37927,676,41,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play For Free,광고 제목,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,2,KRW,30981,794,35,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-register for $100 Rewards,광고 제목,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,7,KRW,42265,781,41,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Your RPG, In Your Hands",광고 제목,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,2,KRW,50653,718,48,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adorable yet Powerful! Collect Heroes With Diverse Charms,설명,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,11,KRW,70495,1338,60,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-register Now and Get SR Hero Karbel for Free,설명,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,6,KRW,81613,1452,83,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-register and Receive Rewards Worth $100! Pre-register Now,설명,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,11,KRW,108138,1380,102,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Battles With Heroes Full of Personality! Design Your Own Squad,설명,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,11,KRW,92759,1529,84,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Hero Skills and Synergies! The Collectible RPG of Endless Team Combinations,설명,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,5,KRW,82895,1530,83,0,TXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251104_BNR_A-Character-Adventure01A-DA_L_1200x628_EN.jpg;https://tpc.googlesyndication.com/simgad/7852267225455295083,가로형 이미지,HQ_HQ_PH_US-EN_GA_NU-Pre_AD_ACp_260406,P_ALL_AUTO_AUTO_ALL_NONE_260406_2,2026-04-06,22,KRW,127875,2525,152,0,BNR,가로형,2025-11-04,A,Character,Adventure01A,EN,251104_BNR_A-Character-Adventure01A-DA_L_1200x628_EN,A-Character-Adventure01A-DA,https://tpc.googlesyndication.com/simgad/7852267225455295083,"비주얼 임팩트, 캐릭터/유닛 외형",,,,,PEPP HEROES,"아트 퀄리티, 캐릭터, 수집형RPG","5인 분대 전투, 수집형 RPG",,"마그 탐험대, 고블린",카르벨(Karbel),렐릭 탐험 어드벤처,2.5D 입체 월드 강조,"전투 및 액션, 탐험 및 발견",텍스트 오버레이,자연/야외 미학,"도전과 승부욕, 수집욕/소유욕","인간형 영웅, SD/치비 캐릭터, 거대 보스","2.5D 입체 그래픽, 2D 일러스트","[전략적 의도] 와이드 뷰를 통해 거대 보스와의 대립 구도를 선명하게 노출, 레이드 콘텐츠 암시. [타겟 심리] '작지만 강력한' 히어로들의 부대 단위 전투가 주는 스케일감에 매력을 느낌. [성과 예측 및 확장] 페이스북/인스타그램 뉴스피드 최적화로 대중적 유입 기대. 보상 정보($100 가치) 추가 시 전환율 급증 예상."
